post_id,title,category,score,num_comments,author,collected_at
49616257,"Kimi K3 (2.8T) at 1 token/s on a MacBook Pro, streamed from four SSDs",entertainment,277,155,Argonautlabs,2026-09-14 06:07:31.758626+00:00
49678918,Scientists Create a New Form of Ice at More Than 2000°C,science,20,7,jnord,2026-09-14 06:07:41.382846+00:00
49673081,Show HN: Yolov11n by C on Raspberry Pi 5,entertainment,5,0,kutekhoaisan,2026-09-14 06:07:42.919077+00:00
49678711,Show HN: Most Penalized HN Stories,entertainment,19,3,jwarden,2026-09-14 06:07:46.708149+00:00
49676728,Consumer Rights Wiki: 44 instances in which Sony says you own your games,entertainment,12,0,emptybits,2026-09-14 06:07:47.425659+00:00
49680395,"Influential people don't network, they build social capital",sports,10,0,AntonZ234,2026-09-14 06:07:48.859359+00:00
49652028,YuE2 · Frontier Music with Symbolic Planning,entertainment,108,100,sexy_seedbox,2026-09-14 06:08:03.708980+00:00
49660833,I recently went through a translation of Musashi's Book of Five Rings,entertainment,12,1,tosh,2026-09-14 06:08:08.520625+00:00
49665892,Show HN: Claude Read Aloud – Hear Claude's Replies Instead of Reading,entertainment,5,2,michaelgifford,2026-09-14 06:08:12.513912+00:00
49621074,The Nonfiction Book Market is Collapsing?,entertainment,56,65,samclemens,2026-09-14 06:08:19.579954+00:00
49678417,Vince Carter called out modern NBA players for checking social media at halftime,sports,5,0,hbcondo714,2026-09-14 06:08:27.259207+00:00
